VIN,Machines,Date,Time,Production Date,Measurement Type,Measurement,High Spec,Low Spec,Styles,Problem,Description,Result,Status,Model,Model Year,I_PRODCT_TAG,Vacuum Decay,Vacuum,Leak Chk,Stabilize,Stroke 2,Stroke 1,Pick-Up
1C6RREBT0LN294693,S1    ,2/8/2020,4:51 PM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,26687509,0.06,15.86,0.016,0.04,4.51,3.063,0.916
1C6RREBT0LN294709,S1    ,2/8/2020,1:54 PM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42625574,0.05,15.74,0.016,0.039,4.502,3,0.838
1C6RREBT0LN295407,S1    ,2/6/2020,3:17 PM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42632547,0.04,15.59,0.011,0.026,4.506,3.136,0.846
1C6RREBT1LN276316,S1    ,2/8/2020,5:07 AM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42620906,0.03,15.75,0.015,0.038,4.483,3.04,0.928
1C6RREBT1LN289020,S1    ,2/7/2020,2:12 AM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42636670,0.05,15.58,0.012,0.02,4.444,3.098,0.919
1C6RREBT1LN294685,S1    ,2/8/2020,1:22 PM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42627661,0.04,15.87,0.018,0.041,4.519,2.98,0.941
1C6RREBT1LN294704,S1    ,2/8/2020,8:11 AM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,ID,DT1H41,2020,42625004,0.05,15.86,0.017,0.044,4.474,2.953,0.967
1C6RREBT2LN278317,S1    ,2/8/2020,12:20 AM,2/7/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,F,KZ,DT1H41,2020,42619346,0.04,15.56,0.02,0.045,4.657,1.811,0.851
1C6RREBT2LN278379,S1    ,2/3/2020,4:34 PM,2/3/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42449157,0.03,15.08,0.012,0.023,4.214,2.86,0.839
1C6RREBT2LN295344,S1    ,2/6/2020,8:13 PM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42637868,0.05,15.56,0.013,0.019,4.581,3.144,0.901
1C6RREBT2LN295411,S1    ,2/8/2020,1:38 PM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42626952,0.05,15.86,0.015,0.037,4.544,3.011,0.873
1C6RREBT3LN294705,S1    ,2/8/2020,12:59 PM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42625541,0.05,15.77,0.016,0.044,4.543,3.107,0.865
1C6RREBT4LN277430,S1    ,2/8/2020,6:54 PM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,26688812,0.05,15.9,0.016,0.039,4.586,3.116,0.932
1C6RREBT4LN294681,S1    ,2/8/2020,12:20 PM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42627711,0.05,15.78,0.018,0.04,4.444,3.018,0.845
1C6RREBT4LN294759,S1    ,2/8/2020,5:35 PM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42628016,0.04,15.82,0.016,0.038,4.498,3.044,0.877
1C6RREBT4LN295233,S1    ,2/8/2020,8:48 AM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42624007,0.05,15.79,0.018,0.053,4.481,2.751,0.952
1C6RREBT4LN295345,S1    ,2/6/2020,10:19 PM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42636449,0.04,15.56,0.014,0.022,4.59,3.206,0.856
1C6RREBT5LN294673,S1    ,2/8/2020,12:08 PM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42626721,0.05,15.81,0.018,0.04,4.532,3.116,0.939
1C6RREBT5LN294687,S1    ,2/8/2020,4:38 PM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42626911,0.05,15.69,0.016,0.04,4.595,3.16,0.802
1C6RREBT6LN277431,S1    ,2/8/2020,12:12 PM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42626622,0.05,15.91,0.015,0.038,4.453,3.033,0.951
1C6RREBT6LN289384,S1    ,2/6/2020,2:44 AM,2/5/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42608315,0.04,15.69,0.012,0.019,4.438,3.097,0.963
1C6RREBT7LN294691,S1    ,2/8/2020,7:17 AM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42625947,0.05,15.69,0.018,0.048,4.556,2.968,0.941
1C6RREBT8LN288981,S1    ,2/4/2020,2:19 PM,2/4/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,F,KZ,DT1H41,2020,42588418,,,,,,,
1C6RREBT8LN295395,S1    ,2/8/2020,3:21 PM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42626846,0.04,15.72,0.018,0.041,4.498,3.03,0.773
1C6RREBT9LN294711,S1    ,2/8/2020,10:09 AM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,I8,DT1H41,2020,42625426,0.06,15.81,0.015,0.037,4.492,3.001,0.831
1C6RREBT9LN294742,S1    ,2/8/2020,5:50 PM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42627752,0.06,15.75,0.016,0.039,4.642,3.177,0.864
1C6RREBTXLN277433,S1    ,2/8/2020,9:26 AM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42626440,0.03,15.78,0.016,0.043,4.492,3.017,0.847
1C6RREBTXLN294751,S1    ,2/8/2020,4:46 PM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,26687400,0.04,15.85,0.017,0.04,4.569,3.098,0.935
1C6RREDG0LN275741,S1    ,2/3/2020,8:56 PM,2/3/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42449934,0.04,15.1,0.013,0.02,4.28,2.917,0.969
1C6RREDT0LN277325,S1    ,2/4/2020,5:32 AM,2/4/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42586313,0.03,15.3,0.017,0.022,4.244,2.931,1.057
1C6RREDT0LN277339,S1    ,2/4/2020,1:41 PM,2/4/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42588392,0.05,15.81,0.013,0.02,4.279,2.843,1.084
1C6RREDT0LN277552,S1    ,2/10/2020,7:19 AM,2/10/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,I1,DT1P41,2020,26691345,0.04,15.72,0.015,0.037,4.273,2.831,0.97
1C6RREDT0LN294805,S1    ,2/7/2020,7:38 AM,2/7/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42644310,0.05,15.32,0.017,0.098,4.6,2.864,0.871
1C6RREDT1LN294814,S1    ,2/8/2020,12:38 AM,2/7/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42622076,0.04,15.65,0.018,0.038,4.443,3.006,0.787
1C6RREDT1LN294828,S1    ,2/7/2020,1:42 PM,2/7/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42646091,0.05,15.5,0.015,0.096,4.4,2.685,0.909
1C6RREDT2LN276063,S1    ,2/4/2020,12:21 AM,2/3/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42458745,0.04,15.05,0.014,0.021,4.294,2.94,0.902
1C6RREDT2LN277326,S1    ,2/4/2020,12:51 AM,2/3/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42459115,0.03,15.11,0.014,0.02,4.255,2.892,0.903
1C6RREDT2LN277343,S1    ,2/3/2020,11:44 PM,2/3/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42449751,0.04,15.19,0.015,0.021,4.285,2.933,1.003
1C6RREDT2LN277973,S1    ,2/8/2020,10:33 PM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42629790,0.04,15.68,0.018,0.043,4.621,3.182,0.799
1C6RREDT2LN294790,S1    ,2/7/2020,1:28 PM,2/7/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42645218,0.05,15.48,0.015,0.041,4.544,2.758,0.79
1C6RREDT2LN294806,S1    ,2/7/2020,2:34 AM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42638957,0.04,15.47,0.013,0.019,4.499,3.109,0.859
1C6RREDT3LN277772,S1    ,2/10/2020,7:54 AM,2/10/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,G9,DT1P41,2020,26695957,0.04,15.83,0.016,0.04,4.538,3.033,0.923
1C6RREDT3LN294779,S1    ,2/7/2020,12:27 PM,2/7/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42646877,0.05,15.49,0.017,0.036,4.503,2.733,0.85
1C6RREDT3LN294829,S1    ,2/7/2020,8:04 AM,2/7/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42643866,0.05,15.44,0.018,0.093,4.623,2.845,0.865
1C6RREDT4LN277327,S1    ,2/4/2020,7:24 AM,2/4/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42587220,0.04,15.15,0.013,0.022,4.302,2.897,0.937
1C6RREDT4LN294757,S1    ,2/6/2020,11:48 PM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42638932,0.05,15.58,0.012,0.021,4.343,2.979,0.976
1C6RREDT4LN294788,S1    ,2/7/2020,1:20 PM,2/7/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42645556,0.07,15.41,0.019,0.093,4.427,2.759,0.94
1C6RREDT4LN294791,S1    ,2/7/2020,1:45 AM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42640649,0.04,15.47,0.011,0.021,4.551,3.183,0.807
1C6RREDT4LN294810,S1    ,2/7/2020,1:06 AM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42640078,0.04,15.5,0.014,0.019,4.443,3.145,0.84
1C6RREDT5LN294797,S1    ,2/7/2020,2:20 PM,2/7/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,F,KZ,DT1P41,2020,42644534,0.05,15.37,0.018,0.154,4.265,2.636,0.859
1C6RREDT6LN277328,S1    ,2/5/2020,9:25 PM,2/5/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42607366,0.05,15.66,0.013,0.02,4.558,3.224,0.879
1C6RREDT6LN277412,S1    ,2/10/2020,9:23 AM,2/10/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,G1,DT1P41,2020,26694687,0.04,15.78,0.018,0.04,4.325,2.882,0.947
1C6RREDT6LN294792,S1    ,2/7/2020,2:13 PM,2/7/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42616201,0.05,15.47,0.015,0.082,4.559,2.796,0.942
1C6RREDT6LN294808,S1    ,2/7/2020,8:28 AM,2/7/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42643510,0.06,15.36,0.019,0.103,4.485,2.736,0.84
1C6RREDT6LN294811,S1    ,2/7/2020,2:39 AM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42640045,0.04,15.5,0.013,0.022,4.565,3.234,0.954
1C6RREDT7LN277323,S1    ,2/3/2020,7:28 PM,2/3/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42449892,0.06,15.14,0.013,0.018,4.319,2.912,0.961
1C6RREDT7LN277337,S1    ,2/5/2020,4:42 PM,2/5/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42605675,0.05,15.81,0.013,0.02,4.507,3.098,1.01
1C6RREDT7LN294770,S1    ,2/7/2020,2:17 AM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42638361,0.04,15.54,0.013,0.02,4.514,3.211,0.884
1C6RREDT7LN294834,S1    ,2/7/2020,12:22 PM,2/7/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42646265,0.04,15.56,0.015,0.031,4.393,2.67,0.863
1C6RREDT8LN276052,S1    ,2/5/2020,2:27 AM,2/4/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42594275,0.05,15.85,0.011,0.02,4.222,2.833,0.889
1C6RREDT8LN277346,S1    ,2/4/2020,5:17 AM,2/4/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42460428,0.04,15.16,0.015,0.021,4.197,2.866,0.909
1C6RREDT8LN277413,S1    ,2/10/2020,8:56 AM,2/10/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,G1,DT1P41,2020,26691907,0.04,15.68,0.016,0.038,4.505,3.007,0.883
1C6RREDT9LN277341,S1    ,2/5/2020,12:49 PM,2/5/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42601351,0.04,15.79,0.012,0.02,4.459,2.995,0.848
1C6RREDT9LN294799,S1    ,2/7/2020,5:37 AM,2/7/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42639138,0.03,15.53,0.014,0.021,4.466,3.108,1.024
1C6RREDT9LN294804,S1    ,2/7/2020,9:21 AM,2/7/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42643361,0.05,15.48,0.014,0.03,4.565,2.778,0.752
1C6RREDTXLN277347,S1    ,2/4/2020,1:12 AM,2/3/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42459081,0.05,15.08,0.012,0.022,4.291,2.91,0.849
1C6RREDTXLN277980,S1    ,2/9/2020,1:21 AM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,26691055,0.04,15.86,0.018,0.042,4.572,3.095,0.865
1C6RREDTXLN294777,S1    ,2/7/2020,1:52 PM,2/7/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42645234,0.06,15.38,0.019,0.088,4.557,2.775,0.902
1C6RREDTXLN294780,S1    ,2/7/2020,10:56 AM,2/7/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42645085,0.05,15.32,0.021,0.116,4.55,2.823,0.971
1C6RREDTXLN294794,S1    ,2/8/2020,2:13 AM,2/7/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1P41,2020,42620146,0.04,15.7,0.016,0.039,4.514,3.014,0.815
1C6RREFG0LN276434,S1    ,2/5/2020,6:40 AM,2/5/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H98,2020,42602078,0.05,15.89,0.014,0.022,4.46,3.007,0.983
1C6RREFG0LN278314,S1    ,2/5/2020,5:21 PM,2/5/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H98,2020,42606160,0.04,15.72,0.011,0.02,4.296,2.928,0.789
1C6RREFG1LN276183,S1    ,2/3/2020,8:20 AM,2/3/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H98,2020,42451070,0.04,15.15,0.013,0.022,4.2,2.807,0.909
1C6RREFG1LN278404,S1    ,2/5/2020,3:06 PM,2/5/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H98,2020,42606483,0.04,15.73,0.013,0.02,4.53,3.025,0.88
1C6RREFG2LN250790,S1    ,2/8/2020,8:08 PM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,JB,DT1H98,2020,42629691,0.05,15.77,0.017,0.041,4.413,2.975,0.751
1C6RREFG2LN278380,S1    ,2/6/2020,10:02 AM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H98,2020,42631614,0.05,15.69,0.011,0.021,4.664,3.331,0.911
1C6RREFG4LN275724,S1    ,2/5/2020,11:44 AM,2/5/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H98,2020,42603233,0.05,15.85,0.013,0.02,4.451,2.989,0.912
1C6RREFG5LN278132,S1    ,2/3/2020,11:42 AM,2/3/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H98,2020,42454124,0.05,15.26,0.013,0.023,4.325,2.974,0.936
1C6RREFG5LN288949,S1    ,2/6/2020,12:37 PM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H98,2020,42632380,0.04,15.61,0.014,0.019,4.497,3.105,0.772
1C6RREFG5LN288952,S1    ,2/5/2020,3:19 PM,2/5/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H98,2020,42592717,0.06,15.86,0.013,0.019,4.452,3.063,1.023
1C6RREFG5LN289163,S1    ,2/6/2020,12:39 PM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H98,2020,42632182,0.04,15.64,0.014,0.021,4.528,3.085,0.903
1C6RREFG6LN278124,S1    ,2/6/2020,9:18 AM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,F,KZ,DT1H98,2020,42631309,0.06,15.69,0.012,0.02,5.421,4.048,0
1C6RREFG6LN289074,S1    ,2/4/2020,7:42 PM,2/4/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H98,2020,42593848,0.05,15.62,0.012,0.021,4.428,2.983,0.797
1C6RREFG7LN267469,S1    ,2/4/2020,10:17 AM,2/4/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,JS,DT1H98,2020,42588798,0.05,15.77,0.013,0.02,4.216,2.792,0.919
1C6RREFG8LN275886,S1    ,2/7/2020,1:29 AM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H98,2020,42639534,0.05,15.49,0.016,0.022,4.556,3.149,0.768
1C6RREFG8LN276181,S1    ,2/4/2020,3:19 PM,2/4/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H98,2020,42593699,0.04,15.71,0.013,0.025,4.308,2.844,0.917
1C6RREFG8LN289075,S1    ,2/4/2020,2:02 AM,2/3/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H98,2020,42586164,0.05,15.13,0.012,0.022,4.377,2.99,0.902
1C6RREFG9LN289148,S1    ,2/3/2020,10:48 AM,2/3/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H98,2020,42453845,0.04,15.15,0.018,0.022,4.212,2.852,0.851
1C6RREFGXLN276182,S1    ,2/5/2020,8:46 AM,2/5/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H98,2020,42601518,0.04,15.87,0.013,0.018,4.534,3.129,0.878
